CODE,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Poverty,Country,Latitude (average),Longitude (average),Status,Dictator
AFG,1992,4.71,NA,-0.26,16.44,14.17,NA,Afghanistan,33,65,NF,1
AFG,1993,3.86,NA,-0.32,16.51,14.13,NA,Afghanistan,33,65,NF,1
AFG,1994,4.4,NA,-0.29,16.58,14.09,NA,Afghanistan,33,65,NF,1
AFG,1995,4.38,NA,-0.38,16.64,14.05,NA,Afghanistan,33,65,NF,1
AFG,1996,4.18,NA,-0.48,16.68,14,NA,Afghanistan,33,65,NF,1
AFG,1997,4.01,NA,-0.57,16.71,13.92,NA,Afghanistan,33,65,NF,1
AFG,1998,4.4,NA,-0.64,16.73,13.87,NA,Afghanistan,33,65,NF,1
AFG,1999,4.2,NA,-0.65,16.76,13.63,NA,Afghanistan,33,65,NF,1
AFG,2000,4.87,NA,-0.63,16.8,13.57,NA,Afghanistan,33,65,NF,1
AFG,2001,4.48,0.9,-0.43,16.84,13.38,NA,Afghanistan,33,65,NF,1
AFG,2002,5.09,1.42,-0.3,16.88,13.7,NA,Afghanistan,33,65,NF,1
AFG,2003,4.59,1.52,-0.03,16.93,13.85,NA,Afghanistan,33,65,NF,1
AFG,2004,5.56,1.66,-0.07,16.97,13.77,NA,Afghanistan,33,65,NF,1
AFG,2005,5.61,1.84,-0.03,17.01,14.11,NA,Afghanistan,33,65,NF,1
AFG,2006,5.98,1.95,0.19,17.04,14.32,NA,Afghanistan,33,65,NF,1
AFG,2007,6.1,2.29,0.4,17.07,14.64,36.3,Afghanistan,33,65,NF,1
AFG,2008,5.86,2.32,0.36,17.09,15.25,NA,Afghanistan,33,65,NF,1
AFG,2009,6.06,2.52,0.71,17.12,15.73,NA,Afghanistan,33,65,NF,1
AFG,2010,6.69,2.77,0.89,17.15,15.95,NA,Afghanistan,33,65,NF,1
AFG,2011,6.58,2.88,1.11,17.18,16.32,35.8,Afghanistan,33,65,NF,1
AFG,2012,6.84,3.02,1.36,17.21,16.83,NA,Afghanistan,33,65,NF,1
AFG,2013,6.84,3.01,1.52,17.24,16.87,NA,Afghanistan,33,65,NF,1
ALB,1992,2.15,-0.34,0.37,14.99,14.69,NA,Albania,41,20,PF,0
ALB,1993,2.64,0.21,0.55,14.99,14.67,NA,Albania,41,20,PF,0
ALB,1994,4.45,0.69,0.7,14.98,14.47,NA,Albania,41,20,PF,0
ALB,1995,4.62,0.89,0.77,14.97,14.55,NA,Albania,41,20,PF,0
ALB,1996,4.54,1.1,1.03,14.97,14.52,NA,Albania,41,20,PF,0
ALB,1997,3.35,0.79,0.73,14.96,14.25,NA,Albania,41,20,PF,0
ALB,1998,3.92,1,0.79,14.96,14.38,NA,Albania,41,20,PF,0
ALB,1999,4.35,1.23,1.25,14.95,14.91,NA,Albania,41,20,PF,0
ALB,2000,5.1,1.3,1.32,14.94,14.92,NA,Albania,41,20,PF,0
ALB,2001,5.02,1.41,1.27,14.93,14.99,NA,Albania,41,20,PF,0
ALB,2002,5.32,1.49,1.51,14.93,15.14,25.4,Albania,41,20,PF,0
ALB,2003,4.98,1.73,1.41,14.93,15.27,NA,Albania,41,20,PF,0
ALB,2004,5.26,2.01,1.33,14.92,15.24,NA,Albania,41,20,PF,0
ALB,2005,5.15,2.13,1.32,14.92,15.26,18.5,Albania,41,20,PF,0
ALB,2006,5.42,2.21,1.1,14.91,15.17,NA,Albania,41,20,PF,0
ALB,2007,5.72,2.37,1.31,14.9,15.31,NA,Albania,41,20,PF,0
ALB,2008,5.87,2.56,1.45,14.9,15.35,12.4,Albania,41,20,PF,0
ALB,2009,5.47,2.49,1.5,14.89,15.32,NA,Albania,41,20,PF,0
ALB,2010,6.2,2.48,1.57,14.88,15.3,NA,Albania,41,20,PF,0
ALB,2011,6.23,2.56,1.65,14.88,15.36,NA,Albania,41,20,PF,0
ALB,2012,6.26,2.51,1.4,14.88,15.37,14.3,Albania,41,20,PF,0
ALB,2013,6.33,2.56,1.52,14.88,15.39,NA,Albania,41,20,PF,0
DZA,1992,8.87,3.87,2.64,17.12,18.22,NA,Algeria,28,3,NF,1
DZA,1993,8.72,3.91,2.64,17.14,18.23,NA,Algeria,28,3,NF,1
DZA,1994,8.8,3.75,2.66,17.16,18.28,NA,Algeria,28,3,NF,1
DZA,1995,8.88,3.73,2.67,17.18,18.37,NA,Algeria,28,3,NF,1
DZA,1996,8.87,3.85,2.72,17.2,18.39,NA,Algeria,28,3,NF,1
