con_id,month,year,unitsconsumed,assessment,totalcollection,category,billdate
10230009572,1,2018,116,611,0,DS1,1/1/2018
10230009572,2,2018,140,208,0,DS1,2/1/2018
10230009572,3,2018,NA,NA,NA,DS1,3/1/2018
10230009572,4,2018,NA,NA,NA,DS1,4/1/2018
10230009572,5,2018,77,482,0,DS1,5/1/2018
10230009572,6,2018,NA,NA,NA,DS1,6/1/2018
10230009572,7,2018,NA,NA,NA,DS1,7/1/2018
10230009572,8,2018,NA,NA,NA,DS1,8/1/2018
10230009572,9,2018,NA,NA,NA,DS1,9/1/2018
10230009572,10,2018,180,978,0,DS1,10/1/2018
10230009572,11,2018,NA,NA,NA,DS1,11/1/2018
10230009572,12,2018,NA,NA,NA,DS1,12/1/2018
1103034755,1,2018,683,550,0,DS1,1/1/2018
1103034755,2,2018,13,85,0,DS1,2/1/2018
1103034755,3,2018,59,214,0,DS1,3/1/2018
1103034755,4,2018,NA,NA,NA,DS1,4/1/2018
1103034755,5,2018,22,209,209,DS1,5/1/2018
1103034755,6,2018,20,107,0,DS1,6/1/2018
1103034755,7,2018,42,99,99,DS1,7/1/2018
1103034755,8,2018,25,138,0,DS1,8/1/2018
1103034755,9,2018,NA,NA,NA,DS1,9/1/2018
1103034755,10,2018,65,219,0,DS1,10/1/2018
1103034755,11,2018,NA,NA,NA,DS1,11/1/2018
1103034755,12,2018,NA,NA,NA,DS1,12/1/2018
1103037339,1,2018,906,1278,0,DS1,1/1/2018
1103037339,2,2018,22,154,0,DS1,2/1/2018
1103037339,3,2018,33,259,0,DS1,3/1/2018
1103037339,4,2018,NA,NA,NA,DS1,4/1/2018
1103037339,5,2018,NA,NA,NA,DS1,5/1/2018
1103037339,6,2018,88,582,582,DS1,6/1/2018
1103037339,7,2018,18,89,89,DS1,7/1/2018
1103037339,8,2018,37,171,0,DS1,8/1/2018
1103037339,9,2018,NA,NA,NA,DS1,9/1/2018
1103037339,10,2018,56,267,0,DS1,10/1/2018
1103037339,11,2018,28,135,0,DS1,11/1/2018
1103037339,12,2018,29,134,134,DS1,12/1/2018
1103042329,1,2018,30,173,0,DS1,1/1/2018
1103042329,2,2018,176,515,0,DS1,2/1/2018
1103042329,3,2018,103,379,379,DS1,3/1/2018
1103042329,4,2018,NA,NA,NA,DS1,4/1/2018
1103042329,5,2018,120,469,0,DS1,5/1/2018
1103042329,6,2018,77,286,286,DS1,6/1/2018
1103042329,7,2018,147,259,0,DS1,7/1/2018
1103042329,8,2018,85,332,0,DS1,8/1/2018
1103042329,9,2018,NA,NA,NA,DS1,9/1/2018
1103042329,10,2018,84,389,0,DS1,10/1/2018
1103042329,11,2018,39,182,0,DS1,11/1/2018
1103042329,12,2018,NA,NA,NA,DS1,12/1/2018
10150016515,1,2018,44,196,0,DS1,1/1/2018
