StateName,GDP
Andhra Pradesh ,379402.00
Arunachal Pradesh,11063
Assam,143175
Bihar,247144
Chhattisgarh,158074
Goa,42367
Gujarat,615606
Haryana,297539
Himachal Pradesh,72720
Jammu & Kashmir,78254
Jharkhand,150918
Karnataka,603778
Kerala,364048
Madhya Pradesh,315561
Maharashtra,1272967
Manipur,12915
Meghalaya,19918
Mizoram,7259
Nagaland,11839
Odisha,227872
Punjab,266628
Rajasthan,436465
Sikkim,11165
Tamil Nadu,751485
Telangana,359433
Tripura,19208
Uttar Pradesh,724049
Uttarakhand,115524
West Bengal1,NA
Andaman & Nicobar Islands,3979
Chandigarh,18768
Delhi,343767
Puducherry,16818
India,8736039
